A0A2U3U0J3	0	chr1	+	65419	71585	65433,65573	65520,69037
Q0VAM2	0	chr4	-	82347547	82393061	82348946,82353525,82355117,82355888,82362083,82363530,82366782,82366992,82368732,82369438,82377942,82378775,82380668	82353453,82354994,82355793,82361988,82363451,82366680,82366897,82368658,82369223,82377805,82378653,82380486,82392924
Q14103	0	chr4	-	83273651	83295144	83275307,83276554,83277836,83278048,83278597,83279973,83280792,83292737	83276457,83277690,83277949,83278466,83279812,83280624,83292681,83294599
O14979	0	chr4	-	83343722	83351615	83346036,83347282,83347786,83348457,83348717,83349332,83349599	83347190,83347616,83348343,83348586,83349171,83349431,83350401
Q9UHY7	0	chr4	+	83351743	83382330	83352066,83369174,83372398,83376007,83378191	83369073,83372196,83375875,83378068,83381134
B9EJG8	0	chr4	-	83404329	83483141	83406872,83411391,83417348,83423947,83424080,83424265,83425820	83411214,83417221,83423880,83424048,83424212,83425731,83483059
Q86SK9	0	chr4	-	83550692	83719949	83552670,83557976,83602065,83626566	83557744,83601860,83626436,83719459
O94979	0	chr4	-	83739662	83812306	83740406,83742261,83745827,83748785,83750211,83763634,83765662,83770130,83772757,83774868,83776182,83778283,83778917,83782861,83783725,83784545,83785751,83788113,83788469,83791577,83793239,83795904,83796975,83800081,83802075,83803093	83742190,83745708,83748522,83750153,83763293,83765539,83769957,83772584,83774723,83776056,83778105,83778842,83782784,83783687,83784471,83785515,83787961,83788308,83791478,83793097,83795764,83796880,83799883,83801952,83803011,83812241
Q9H5L6	0	chr4	+	83821888	83841122	83822035,83826084,83827780,83829088	83825889,83827477,83828938,83838097
Q6MZP7	0	chr4	-	83845756	83931976	83849456,83852298,83857271,83857534,83858451,83859657,83860889,83861115,83867627,83891622,83900159,83906029	83852096,83857134,83857432,83858380,83859566,83860692,83861042,83867411,83891480,83900036,83905314,83931637
Q9BT78	0	chr4	+	83956336	83996971	83956451,83966858,83970470,83971137,83978232,83978561,83984399,83987706,83989675	83966779,83970319,83971034,83978079,83978411,83984229,83987591,83989591,83996450
X2BQ60	0	chr4	-	84011201	84035882	84012124,84015944,84026173,84029103	84015831,84026049,84028957,84035819
Q96H96	0	chr4	-	84184977	84205951	84185516,84188927,84191146,84193325,84194770,84200267	84188739,84191013,84193240,84194649,84200101,84205665
Q9Y251	0	chr4	-	84213614	84256001	84216656,84222259,84223421,84227470,84230104,84230648,84231231,84232043,84234440,84240622,84243517	84222113,84223303,84227356,84229998,84230555,84231184,84231875,84234267,84240497,84243372,84255709
Q8TDG4	0	chr4	-	84328499	84376976	84328713,84338018,84339359,84342889,84347245,84348873,84350899,84352921,84353420,84358250,84361161,84362556,84364767,84367239,84368188,84370114,84375098	84337884,84339246,84342716,84347147,84348716,84350677,84352817,84353279,84358011,84361016,84362458,84364670,84367167,84367988,84369936,84374384,84376550
Q9Y3D5	0	chr4	+	84377211	84383451	84377330,84378111,84379582,84380950,84382185	84378062,84379499,84380893,84382126,84382274
Q6UWZ7	0	chr4	-	84380670	84406253	84384055,84384761,84388691,84390304,84391549,84393441,84397832,84403397	84384647,84388607,84390185,84391356,84393375,84397796,84403307,84406139
Q53EU6	0	chr4	+	84457261	84527028	84457916,84465755,84502985,84508482,84509452,84511445,84516113,84518066,84518668,84519332,84519876	84465689,84502715,84508408,84509363,84511352,84515998,84518011,84518583,84519204,84519797,84525821
P78426	0	chr4	-	85413138	85420445	85414702,85416997	85416825,85418712
Q92903	0	chr4	+	85504280	85572487	85504671,85525523,85530678,85538814,85540686,85553030,85555092,85556504,85560145,85562143,85564296,85566478	85525396,85530582,85538717,85540547,85552972,85555010,85556417,85560077,85561991,85564177,85566375,85569710
Q8IZQ1	0	chr4	-	85590750	85887843	85594144,85598549,85599432,85600395,85603623,85605278,85609418,85611817,85612938,85614185,85617335,85617976,85623659,85625597,85626664,85630181,85630500,85634392,85636536,85638169,85639723,85642725,85645747,85648064,85654762,85656273,85657480,85658519,85660272,85661569,85663074,85664952,85672869,85675029,85676553,85678314,85687180,85687525,85694082,85696134,85696291,85699808,85701451,85704227,85707292,85708866,85711060,85715890,85716132,85717905,85719261,85723017,85724620,85729570,85731497,85738738,85741339,85742704,85748134,85750343,85752758,85758243,85762416,85771178,85781775,85818163,85853516	85598352,85599321,85600072,85603527,85605096,85609239,85611659,85612784,85614038,85617123,85617885,85623506,85625491,85626547,85630062,85630446,85634312,85636451,85638049,85639575,85642562,85645579,85648014,85654535,85656196,85657323,85658337,85660163,85661340,85662914,85664853,85672636,85674850,85676419,85678079,85686963,85687405,85693988,85695973,85696218,85699656,85701261,85704116,85707132,85708635,85710879,85715672,85716032,85717674,85719149,85722803,85724443,85729487,85731040,85738545,85741238,85742237,85747968,85750157,85752566,85758082,85762307,85771055,85781565,85818064,85853423,85887362
Q8N264	0	chr4	+	86396303	86923819	86396712,86491874,86643125,86844923,86863426,86893321,86896114,86898844,86916810	86491675,86643038,86844801,86863219,86893189,86896041,86898723,86915736,86921632
P53779	0	chr4	-	86931558	87281206	86938523,86950427,86952584,86985543,86989108,87019748,87022370,87023185,87024397,87028505,87080620,87115560,87275797	86950350,86952521,86985419,86988926,87019677,87022205,87023047,87024339,87028376,87080451,87115489,87275683,87280811
Q12923	0	chr4	+	87515468	87736314	87515942,87556524,87593696,87607928,87610343,87614827,87622954,87637778,87638270,87643587,87653627,87653919,87655609,87656028,87656899,87662969,87666281,87672040,87672277,87674218,87679502,87679938,87680226,87684343,87685877,87686641,87687670,87689129,87691136,87691352,87692688,87694111,87695684,87696495,87696805,87701625,87703415,87705711,87706521,87707089,87718082,87720357,87725010,87726522,87729050,87731137,87732261	87556405,87593518,87607863,87610158,87614740,87622394,87637683,87638177,87643365,87653553,87653745,87655456,87655890,87656747,87662787,87666119,87671623,87672180,87674162,87679413,87679831,87680095,87683880,87685746,87686548,87687585,87688970,87690922,87691254,87692324,87693931,87695526,87696324,87696595,87701555,87703354,87705618,87706384,87707001,87718027,87720254,87724862,87726432,87728713,87730922,87732199,87735609
Q3KNW5	0	chr4	-	87744621	87770537	87745055,87746730,87749321,87753033,87754577	87746573,87749146,87752945,87754459,87769892
Q96KX1	0	chr4	-	87797358	87813575	87797596,87809046,87809428,87812746	87808911,87809274,87812609,87813336
none	0	chr4	-	87807625	87855884	87809046,87809428,87812746,87847478,87853471,87854694	87809274,87812609,87847380,87853374,87854547,87855639
P51825	0	chr4	+	87856163	88062191	87856392,87869723,87967438,87968746,88005316,88011222,88012981,88016121,88026834,88026997,88029467,88036451,88046295,88047488,88048269,88048855,88052371,88053016,88053560,88055846	87869650,87967318,87967847,88005272,88011136,88012945,88016067,88026780,88026960,88029311,88035519,88046189,88047251,88048178,88048795,88052235,88052945,88053423,88055623,88056732
Q9P2G9	0	chr4	-	88081255	88141770	88084794,88085231,88091390,88091767,88098020,88099772,88104541,88106951,88116842	88085030,88091231,88091599,88097909,88099629,88104355,88106403,88116476,88141570
Q7Z5P4	0	chr4	-	88224946	88244034	88226460,88231511,88235112,88236751,88238375,88239588	88231395,88234975,88236645,88238244,88239481,88243784
Q8NBQ5	0	chr4	-	88257667	88312340	88258518,88261758,88278568,88293967,88295982,88303514	88261642,88278431,88293861,88295851,88303407,88312013
Q9BW91	0	chr4	+	88343725	88380607	88344164,88356372,88359524,88363067,88370405,88372887,88375607	88356133,88359429,88362981,88370294,88372741,88375523,88378995
Q14515	0	chr4	-	88394487	88450528	88394955,88400730,88401672,88403712,88411545,88412030,88412842,88415750,88416279,88420737	88400582,88401524,88403576,88411425,88411912,88412770,88414734,88416133,88420673,88450197
Q9NZW4	0	chr4	+	88529681	88538025	88529772,88532111,88533340,88534460	88532033,88533257,88533474,88534937
Q13316	0	chr4	+	88571432	88585509	88571536,88577698,88578231,88580404,88580630	88577624,88578184,88580372,88580583,88583114
P21815	0	chr4	+	88720706	88733587	88720785,88723567,88723710,88723883,88727336,88731916	88723500,88723660,88723806,88727274,88731758,88732514
Q9NQ76	0	chr4	+	88754121	88767944	88754166,88755920,88759837	88755855,88759784,88766129
P10451	0	chr4	+	88896866	88904563	88896952,88898101,88898249,88901278,88901586,88902950	88898034,88898211,88901198,88901545,88902627,88903644
Q13563	0	chr4	+	88928787	88998929	88929480,88940723,88957505,88959653,88964609,88968022,88973310,88977419,88979255,88983156,88986647,88987031,88989213,88996111	88940610,88957372,88959403,88964385,88967794,88973143,88977238,88979135,88983058,88986526,88986914,88989050,88995964,88996610
Q9UNQ0	0	chr4	-	89011421	89079791	89013533,89015811,89016761,89018759,89020600,89022471,89028418,89034705,89036210,89039412,89042944,89052365,89053069,89053787,89061166	89015729,89016672,89018605,89020476,89022382,89028336,89034455,89036109,89039261,89042787,89052213,89052955,89053728,89060945,89079538
Q8N3J5	0	chr4	-	89178772	89205713	89183878,89186287,89189486,89190058,89198395,89199794	89186153,89189342,89189893,89198295,89199296,89205558
Q8IVU3	0	chr4	+	89300004	89364249	89300272,89304532,89306727,89312031,89314734,89317294,89318139,89319361,89326149,89326765,89329769,89334418,89338731,89345125,89345854,89349902,89352457,89357043,89358123,89358933,89361209,89361402	89304373,89306651,89311804,89314640,89317167,89318003,89319294,89326028,89326706,89329676,89334229,89338577,89345012,89345747,89349732,89352314,89356877,89358057,89358863,89361026,89361300,89363386
Q9UII4	0	chr4	+	89378270	89427314	89378685,89380621,89381322,89383507,89384774,89385136,89388355,89389573,89390411,89391824,89393653,89397181,89400658,89407379,89408330,89410487,89414306,89415482,89421143,89422136,89425566,89425748	89380498,89381246,89383286,89384683,89385006,89388210,89389497,89390308,89391765,89393560,89396992,89400504,89407266,89408220,89410317,89414163,89415316,89421077,89422066,89425383,89425646,89426824
Q96I23	0	chr4	-	89442149	89444927	89443180	89444649
Q3MUY2	0	chr4	-	89442149	89444927	89443180	89444649
H0Y8G9	0	chr4	+	89444961	89629601	89445083,89516765,89519238,89527200,89571150,89573239,89574241,89575284,89576455,89577186,89579642,89583706,89585363,89588639,89589232,89591174,89591403,89597574,89599285,89601387,89602476,89607953,89608450,89625432,89625761	89516708,89519101,89526946,89570991,89573163,89574020,89575193,89576325,89577026,89579566,89583582,89585304,89588528,89589043,89591011,89591290,89597485,89599115,89601244,89602310,89607887,89608368,89625249,89625659,89627903
Q15034	0	chr4	+	89513631	89629690	89513725,89516765,89527200,89571150,89573239,89574241,89575284,89576455,89577186,89579642,89583706,89585363,89588639,89589232,89591174,89591403,89597392,89597574,89599285,89601387,89602476,89607953,89608450,89625432,89625761	89516708,89526946,89570991,89573163,89574020,89575193,89576325,89577026,89579566,89583582,89585304,89588528,89589043,89591011,89591290,89597369,89597485,89599115,89601244,89602310,89607887,89608368,89625249,89625659,89627903
Q96NT1	0	chr4	-	89617064	89618980		
O94988	0	chr4	-	89647111	89978336	89649810,89652579,89653349,89658706,89660276,89668166,89669002,89670184,89671060,89671788,89680052,89688746,89689210,89702502,89709083,89711778,89726203,89772334,89827613,89859392,89912301,89941820,89950800	89652478,89653153,89658623,89660181,89668083,89668782,89670103,89670922,89671575,89679905,89688704,89689134,89702316,89708904,89711737,89726162,89772171,89827530,89859239,89912124,89941611,89950611,89978089
V9HWD1	0	chr4	+	90032684	90036052	90033034	90033218
Q6ZVF9	0	chr4	-	90157534	90228951	90171384	90228766
P37840	0	chr4	-	90645250	90758312	90647811,90650428,90743539,90749335,90756843	90650345,90743397,90749294,90756698,90758113
Q13201	0	chr4	+	90816005	90875765	90816745,90830546,90833201,90844423,90849119,90857949,90872902	90830427,90833095,90844319,90848946,90855961,90872756,90874148
Q9C0I3	0	chr4	+	91048545	92526446	91048982,91230759,91234198,91321280,91389505,91549383,91645142,91736996,91844598,92007145	91229395,91234014,91321187,91389385,91549176,91645065,91736913,91844521,92007101,92519723
O43424	0	chr4	+	93225117	94695717	93225895,93511437,94006430,94032104,94128608,94138062,94145926,94159641,94316859,94344119,94377125,94411928,94436562,94547586,94690601	93511282,94006146,94031899,94128555,94137889,94145765,94159522,94316758,94343922,94376813,94411790,94436367,94547420,94690361,94693227
Q92858	0	chr4	+	94749904	94752115		
Q9H4L7	0	chr4	+	95129016	95212443	95129221,95129735,95147447,95155273,95158169,95162157,95170906,95171984,95174158,95186057,95191969,95194867,95195948,95196116,95197625,95198310,95199668,95199884,95200201,95201931,95202741,95204454,95206220	95129497,95147270,95155105,95158103,95162057,95170805,95171903,95173767,95185858,95191879,95194768,95195889,95196041,95197490,95198173,95199573,95199767,95200080,95201743,95202623,95204272,95206111,95210624
O60760	0	chr4	-	95219686	95263987	95220795,95223395,95229894,95239116,95255789	95223297,95229785,95239024,95255648,95263946
Q96HC4	0	chr4	+	95373093	95589374	95373146,95376535,95445026,95494544,95497185,95506888,95507595,95539342,95561601,95575791,95578698,95583688	95376398,95444875,95494502,95496767,95506716,95507559,95539155,95561427,95575611,95578578,95583573,95585129
O00238	0	chr4	+	95679106	96079599	95679219,95797051,95917285,96025718,96035973,96036938,96045057,96046272,96051205,96052663,96070074,96073924	95796982,95917191,96025559,96035871,96036836,96044961,96046134,96051013,96052366,96069899,96073794,96075699
O95185	0	chr4	-	96083655	96470124	96090550,96091483,96104212,96106347,96124115,96127947,96137362,96140464,96141327,96163744,96166295,96171818,96199513,96222900,96256782	96091305,96104048,96106198,96123882,96127779,96137275,96140120,96141136,96163580,96166128,96171638,96199410,96222757,96256561,96469885
P29803	0	chr4	+	96761244	96762615		
Q8N412	0	chr4	-	98480023	99064627	98480268,98633965,98762083,98865158,98893591,98902469,99027215,99030456,99049743,99055610	98633850,98761924,98865048,98893431,98902310,99027104,99030344,99049579,99055498,99064193
P52306	0	chr4	+	99182535	99365009	99182720,99214666,99264412,99273752,99300314,99313231,99325753,99338039,99338649,99339942,99341295,99342545,99355213,99358219	99214559,99264290,99273627,99300168,99313103,99325628,99337896,99338518,99339808,99341170,99342406,99355087,99358091,99363141
P62079	0	chr4	-	99391518	99579762	99393738,99397456,99397611,99399961,99403326,99408035,99428879	99397340,99397564,99399836,99403156,99407889,99428829,99579297
P06730	0	chr4	-	99800427	99850284	99802293,99806212,99808343,99809103,99812483,99823133	99806073,99808230,99809040,99812388,99823027,99850246
P53582	0	chr4	+	99916872	99983960	99917018,99950069,99955493,99956611,99960616,99962277,99964538,99966461,99970027,99978969	99950018,99955381,99956551,99960525,99962194,99964400,99966330,99969884,99978904,99982305
Q6IRT1	0	chr4	-	99992129	100009939	99993592,99993862,99996200,99997703,99998074,100002603,100003267,100006367	99993724,99996065,99997443,99997855,100002516,100003126,100006266,100009840
P08319	0	chr4	-	100044809	100065448	100045617,100047883,100048495,100052915,100057848,100060299,100062833,100063931	100047745,100048360,100052655,100057617,100060212,100062692,100063830,100065356
P28332	0	chr4	-	100123796	100140403	100125400,100126220,100128738,100130085,100131455,100131659,100134904,100137419	100126082,100128603,100129825,100131239,100131572,100134763,100137318,100140292
P07327	0	chr4	-	100197526	100212142	100197805,100200721,100201436,100203763,100205775,100205960,100208145,100208822	100200583,100201301,100203503,100205556,100205873,100208007,100208721,100212054
V9HW50	0	chr4	-	100226128	100242558	100229021,100232060,100232813,100235238,100237274,100237459,100239341,100240043	100231922,100232678,100234978,100237055,100237372,100239203,100239942,100242471
P00326	0	chr4	-	100257654	100273903	100257933,100260872,100261867,100264212,100266238,100266423,100268301,100269003	100260734,100261732,100263952,100266019,100266336,100268163,100268902,100273815
